x 	 analitycal w t = 0.5	PCMN_LU w t = 0.5	analitycal w t = 1	PCMN_LU w t = 1	analitycal w t = 1.9999	PCMN_LU w t = 1.9999
3.07	0.987475	0.98748	0.953331	0.953338	0.902066	0.90207
3.08	0.987816	0.987822	0.954107	0.954113	0.90314	0.903144
3.09	0.98815	0.988155	0.954871	0.954878	0.904204	0.904207
3.1	0.988475	0.98848	0.955625	0.955631	0.905256	0.90526
3.11	0.988792	0.988797	0.956366	0.956372	0.906298	0.906302
3.12	0.989101	0.989106	0.957097	0.957103	0.907329	0.907333
3.13	0.989402	0.989407	0.957817	0.957823	0.90835	0.908354
3.14	0.989696	0.989701	0.958527	0.958532	0.909361	0.909365
3.15	0.989982	0.989987	0.959225	0.959231	0.910361	0.910365
3.16	0.990262	0.990266	0.959913	0.959919	0.911351	0.911355
3.17	0.990534	0.990539	0.960591	0.960597	0.912331	0.912335
3.18	0.9908	0.990804	0.961259	0.961264	0.913302	0.913305
3.19	0.991058	0.991062	0.961916	0.961922	0.914262	0.914266
3.2	0.99131	0.991314	0.962564	0.96257	0.915212	0.915216
3.21	0.991556	0.99156	0.963202	0.963207	0.916153	0.916157
3.22	0.991795	0.991799	0.96383	0.963835	0.917085	0.917088
3.23	0.992029	0.992032	0.964449	0.964454	0.918007	0.91801
3.24	0.992256	0.99226	0.965058	0.965063	0.918919	0.918923
3.25	0.992477	0.992481	0.965658	0.965663	0.919822	0.919826
3.26	0.992693	0.992696	0.966249	0.966254	0.920716	0.92072
3.27	0.992903	0.992906	0.96683	0.966835	0.921601	0.921605
3.28	0.993107	0.993111	0.967403	0.967408	0.922477	0.922481
3.29	0.993307	0.99331	0.967967	0.967972	0.923344	0.923348
3.3	0.993501	0.993504	0.968522	0.968527	0.924202	0.924206
3.31	0.993689	0.993693	0.969069	0.969074	0.925052	0.925055
3.32	0.993873	0.993876	0.969607	0.969612	0.925892	0.925896
3.33	0.994052	0.994055	0.970137	0.970142	0.926725	0.926728
3.34	0.994226	0.994229	0.970659	0.970663	0.927548	0.927552
3.35	0.994396	0.994399	0.971172	0.971177	0.928363	0.928367
3.36	0.994561	0.994564	0.971678	0.971682	0.92917	0.929174
3.37	0.994722	0.994724	0.972175	0.97218	0.929969	0.929972
3.38	0.994878	0.994881	0.972665	0.97267	0.930759	0.930762
3.39	0.99503	0.995033	0.973147	0.973152	0.931541	0.931545
3.4	0.995178	0.99518	0.973622	0.973626	0.932315	0.932319
3.41	0.995322	0.995324	0.974089	0.974093	0.933082	0.933085
3.42	0.995462	0.995464	0.974548	0.974553	0.93384	0.933843
3.43	0.995598	0.9956	0.975001	0.975005	0.934591	0.934594
3.44	0.99573	0.995733	0.975446	0.97545	0.935333	0.935337
3.45	0.995859	0.995861	0.975884	0.975888	0.936068	0.936072
3.46	0.995984	0.995987	0.976315	0.976319	0.936796	0.936799
3.47	0.996106	0.996108	0.976739	0.976743	0.937516	0.937519
3.48	0.996225	0.996227	0.977157	0.977161	0.938229	0.938232
3.49	0.99634	0.996342	0.977567	0.977571	0.938934	0.938937
3.5	0.996452	0.996454	0.977971	0.977975	0.939632	0.939635
3.51	0.99656	0.996562	0.978369	0.978373	0.940323	0.940326
3.52	0.996666	0.996668	0.97876	0.978764	0.941006	0.941009
3.53	0.996769	0.996771	0.979145	0.979149	0.941683	0.941686
3.54	0.996869	0.99687	0.979524	0.979527	0.942352	0.942355
3.55	0.996966	0.996967	0.979896	0.9799	0.943015	0.943018
3.56	0.99706	0.997061	0.980262	0.980266	0.94367	0.943673
3.57	0.997151	0.997153	0.980623	0.980626	0.944319	0.944322
3.58	0.99724	0.997242	0.980977	0.980981	0.944961	0.944964
3.59	0.997327	0.997328	0.981326	0.981329	0.945596	0.945599
3.6	0.99741	0.997412	0.981669	0.981672	0.946225	0.946228
3.61	0.997492	0.997493	0.982006	0.98201	0.946847	0.94685
3.62	0.997571	0.997572	0.982338	0.982341	0.947463	0.947466
3.63	0.997648	0.997649	0.982664	0.982667	0.948072	0.948075
3.64	0.997722	0.997724	0.982985	0.982988	0.948675	0.948678
3.65	0.997795	0.997796	0.9833	0.983304	0.949271	0.949274
3.66	0.997865	0.997866	0.983611	0.983614	0.949861	0.949864
3.67	0.997933	0.997934	0.983916	0.983919	0.950445	0.950448
3.68	0.997999	0.998001	0.984216	0.984219	0.951023	0.951026
3.69	0.998064	0.998065	0.984511	0.984514	0.951595	0.951598
3.7	0.998126	0.998127	0.984801	0.984804	0.952161	0.952164
3.71	0.998186	0.998188	0.985086	0.985089	0.952721	0.952723
3.72	0.998245	0.998246	0.985366	0.985369	0.953274	0.953277
3.73	0.998302	0.998303	0.985642	0.985644	0.953822	0.953825
3.74	0.998357	0.998358	0.985912	0.985915	0.954365	0.954367
3.75	0.998411	0.998412	0.986179	0.986181	0.954901	0.954904
3.76	0.998463	0.998464	0.98644	0.986443	0.955432	0.955435
3.77	0.998513	0.998514	0.986698	0.9867	0.955957	0.95596
3.78	0.998562	0.998563	0.986951	0.986953	0.956477	0.956479
3.79	0.998609	0.99861	0.987199	0.987202	0.956991	0.956993
3.8	0.998655	0.998656	0.987443	0.987446	0.957499	0.957502
3.81	0.9987	0.998701	0.987684	0.987686	0.958002	0.958005
3.82	0.998743	0.998744	0.987919	0.987922	0.9585	0.958503
3.83	0.998785	0.998785	0.988151	0.988154	0.958993	0.958995
3.84	0.998825	0.998826	0.988379	0.988382	0.95948	0.959482
3.85	0.998864	0.998865	0.988603	0.988606	0.959962	0.959964
3.86	0.998902	0.998903	0.988823	0.988825	0.960439	0.960441
3.87	0.998939	0.99894	0.989039	0.989042	0.96091	0.960913
3.88	0.998975	0.998976	0.989252	0.989254	0.961377	0.96138
3.89	0.99901	0.99901	0.98946	0.989463	0.961839	0.961841
3.9	0.999043	0.999044	0.989665	0.989668	0.962295	0.962298
3.91	0.999076	0.999076	0.989867	0.989869	0.962747	0.962749
3.92	0.999107	0.999108	0.990065	0.990067	0.963194	0.963196
3.93	0.999138	0.999138	0.990259	0.990261	0.963636	0.963638
3.94	0.999167	0.999168	0.99045	0.990452	0.964073	0.964076
3.95	0.999196	0.999196	0.990638	0.99064	0.964506	0.964508
3.96	0.999223	0.999224	0.990822	0.990824	0.964933	0.964936
3.97	0.99925	0.99925	0.991003	0.991005	0.965357	0.965359
3.98	0.999276	0.999276	0.99118	0.991182	0.965775	0.965778
3.99	0.999301	0.999301	0.991355	0.991357	0.966189	0.966192
4	0.999325	0.999325	0.991526	0.991528	0.966599	0.966601
4.01	0.999349	0.999349	0.991695	0.991696	0.967004	0.967006
4.02	0.999371	0.999372	0.99186	0.991862	0.967405	0.967407
4.03	0.999393	0.999394	0.992022	0.992024	0.967801	0.967803
4.04	0.999414	0.999415	0.992182	0.992183	0.968193	0.968195
4.05	0.999435	0.999435	0.992338	0.99234	0.96858	0.968583
4.06	0.999455	0.999455	0.992492	0.992493	0.968964	0.968966
4.07	0.999474	0.999474	0.992643	0.992644	0.969343	0.969345
4.08	0.999493	0.999493	0.992791	0.992792	0.969718	0.96972
4.09	0.999511	0.999511	0.992936	0.992938	0.970089	0.970091
4.1	0.999528	0.999528	0.993079	0.99308	0.970456	0.970458
4.11	0.999545	0.999545	0.993219	0.99322	0.970818	0.97082
4.12	0.999561	0.999561	0.993356	0.993358	0.971177	0.971179
4.13	0.999577	0.999577	0.993491	0.993493	0.971532	0.971534
4.14	0.999592	0.999592	0.993624	0.993625	0.971883	0.971885
4.15	0.999607	0.999607	0.993754	0.993755	0.97223	0.972232
4.16	0.999621	0.999621	0.993881	0.993883	0.972573	0.972575
4.17	0.999634	0.999635	0.994007	0.994008	0.972912	0.972914
4.18	0.999648	0.999648	0.99413	0.994131	0.973247	0.973249
4.19	0.99966	0.999661	0.99425	0.994252	0.973579	0.973581
4.2	0.999673	0.999673	0.994369	0.99437	0.973907	0.973909
4.21	0.999685	0.999685	0.994485	0.994486	0.974232	0.974234
4.22	0.999696	0.999696	0.994599	0.9946	0.974552	0.974554
4.23	0.999707	0.999708	0.994711	0.994712	0.97487	0.974871
4.24	0.999718	0.999718	0.99482	0.994822	0.975183	0.975185
4.25	0.999728	0.999729	0.994928	0.994929	0.975493	0.975495
4.26	0.999738	0.999739	0.995034	0.995035	0.9758	0.975802
4.27	0.999748	0.999748	0.995137	0.995138	0.976103	0.976105
4.28	0.999757	0.999758	0.995239	0.99524	0.976403	0.976405
4.29	0.999766	0.999767	0.995338	0.99534	0.976699	0.976701
4.3	0.999775	0.999775	0.995436	0.995437	0.976992	0.976994
4.31	0.999784	0.999784	0.995532	0.995533	0.977282	0.977283
4.32	0.999792	0.999792	0.995626	0.995627	0.977568	0.97757
4.33	0.999799	0.9998	0.995718	0.995719	0.977851	0.977853
4.34	0.999807	0.999807	0.995809	0.99581	0.978131	0.978133
4.35	0.999814	0.999814	0.995898	0.995899	0.978408	0.97841
4.36	0.999821	0.999821	0.995985	0.995986	0.978681	0.978683
4.37	0.999828	0.999828	0.99607	0.996071	0.978952	0.978954
4.38	0.999835	0.999835	0.996154	0.996155	0.979219	0.979221
4.39	0.999841	0.999841	0.996236	0.996237	0.979484	0.979485
4.4	0.999847	0.999847	0.996316	0.996317	0.979745	0.979746
4.41	0.999853	0.999853	0.996395	0.996396	0.980003	0.980005
4.42	0.999858	0.999858	0.996472	0.996473	0.980258	0.98026
4.43	0.999864	0.999864	0.996548	0.996549	0.980511	0.980512
4.44	0.999869	0.999869	0.996622	0.996623	0.98076	0.980762
4.45	0.999874	0.999874	0.996695	0.996696	0.981007	0.981008
4.46	0.999879	0.999879	0.996766	0.996767	0.981251	0.981252
4.47	0.999884	0.999884	0.996836	0.996837	0.981491	0.981493
4.48	0.999888	0.999888	0.996905	0.996906	0.98173	0.981731
4.49	0.999892	0.999892	0.996972	0.996973	0.981965	0.981967
4.5	0.999897	0.999897	0.997038	0.997039	0.982198	0.982199
4.51	0.999901	0.999901	0.997103	0.997104	0.982428	0.982429
4.52	0.999905	0.999905	0.997166	0.997167	0.982655	0.982656
