t 	 error 
0.04005	-3.61367
0.0401	-3.61425
0.04015	-3.61484
0.0402	-3.61543
0.04025	-3.61601
0.0403	-3.6166
0.04035	-3.61718
0.0404	-3.61776
0.04045	-3.61835
0.0405	-3.61893
0.04055	-3.61951
0.0406	-3.62009
0.04065	-3.62068
0.0407	-3.62126
0.04075	-3.62184
0.0408	-3.62242
0.04085	-3.623
0.0409	-3.62358
0.04095	-3.62416
0.041	-3.62473
0.04105	-3.62531
0.0411	-3.62589
0.04115	-3.62647
0.0412	-3.62704
0.04125	-3.62762
0.0413	-3.6282
0.04135	-3.62877
0.0414	-3.62935
0.04145	-3.62992
0.0415	-3.6305
0.04155	-3.63107
0.0416	-3.63164
0.04165	-3.63222
0.0417	-3.63279
0.04175	-3.63336
0.0418	-3.63393
0.04185	-3.6345
0.0419	-3.63507
0.04195	-3.63564
0.042	-3.63621
0.04205	-3.63678
0.0421	-3.63735
0.04215	-3.63792
0.0422	-3.63849
0.04225	-3.63906
0.0423	-3.63962
0.04235	-3.64019
0.0424	-3.64076
0.04245	-3.64132
0.0425	-3.64189
0.04255	-3.64245
0.0426	-3.64302
0.04265	-3.64358
0.0427	-3.64414
0.04275	-3.64471
0.0428	-3.64527
0.04285	-3.64583
0.0429	-3.6464
0.04295	-3.64696
0.043	-3.64752
0.04305	-3.64808
0.0431	-3.64864
0.04315	-3.6492
0.0432	-3.64976
0.04325	-3.65032
0.0433	-3.65088
0.04335	-3.65144
0.0434	-3.65199
0.04345	-3.65255
0.0435	-3.65309
0.04355	-3.65363
0.0436	-3.65417
0.04365	-3.65471
0.0437	-3.65525
0.04375	-3.65579
0.0438	-3.65633
0.04385	-3.65687
0.0439	-3.6574
0.04395	-3.65794
0.044	-3.65848
0.04405	-3.65901
0.0441	-3.65955
0.04415	-3.66009
0.0442	-3.66062
0.04425	-3.66116
0.0443	-3.66169
0.04435	-3.66222
0.0444	-3.66276
0.04445	-3.66329
0.0445	-3.66382
0.04455	-3.66436
0.0446	-3.66489
0.04465	-3.66542
0.0447	-3.66595
0.04475	-3.66648
0.0448	-3.66701
0.04485	-3.66755
0.0449	-3.66808
0.04495	-3.6686
0.045	-3.66913
0.04505	-3.66966
0.0451	-3.67019
0.04515	-3.67072
0.0452	-3.67125
0.04525	-3.67178
0.0453	-3.6723
0.04535	-3.67283
0.0454	-3.67336
0.04545	-3.67388
0.0455	-3.67441
0.04555	-3.67493
0.0456	-3.67546
0.04565	-3.67598
0.0457	-3.67651
0.04575	-3.67703
0.0458	-3.67755
0.04585	-3.67808
0.0459	-3.6786
0.04595	-3.67912
0.046	-3.67964
0.04605	-3.68016
0.0461	-3.68069
0.04615	-3.68121
0.0462	-3.68173
0.04625	-3.68225
0.0463	-3.68277
0.04635	-3.68329
0.0464	-3.68381
0.04645	-3.68432
0.0465	-3.68484
0.04655	-3.68536
0.0466	-3.68588
0.04665	-3.6864
0.0467	-3.68691
0.04675	-3.68743
0.0468	-3.68795
0.04685	-3.68846
0.0469	-3.68898
0.04695	-3.68949
0.047	-3.69001
0.04705	-3.69052
0.0471	-3.69104
0.04715	-3.69155
0.0472	-3.69206
0.04725	-3.69258
0.0473	-3.69309
0.04735	-3.6936
0.0474	-3.69411
0.04745	-3.69462
0.0475	-3.69512
0.04755	-3.69562
0.0476	-3.69611
0.04765	-3.69661
0.0477	-3.6971
0.04775	-3.6976
0.0478	-3.69809
0.04785	-3.69859
0.0479	-3.69908
0.04795	-3.69958
0.048	-3.70007
0.04805	-3.70056
0.0481	-3.70106
0.04815	-3.70155
0.0482	-3.70204
0.04825	-3.70253
0.0483	-3.70303
0.04835	-3.70352
0.0484	-3.70401
0.04845	-3.7045
0.0485	-3.70499
0.04855	-3.70548
0.0486	-3.70597
0.04865	-3.70646
0.0487	-3.70695
0.04875	-3.70744
0.0488	-3.70793
0.04885	-3.70841
0.0489	-3.7089
0.04895	-3.70939
0.049	-3.70988
0.04905	-3.71036
0.0491	-3.71085
0.04915	-3.71134
0.0492	-3.71182
0.04925	-3.71231
0.0493	-3.71279
0.04935	-3.71328
0.0494	-3.71376
0.04945	-3.71425
0.0495	-3.71473
0.04955	-3.71522
0.0496	-3.7157
0.04965	-3.71618
0.0497	-3.71667
0.04975	-3.71715
0.0498	-3.71763
0.04985	-3.71811
0.0499	-3.71859
0.04995	-3.71908
0.05	-3.71956
0.05005	-3.72004
0.0501	-3.72052
0.05015	-3.721
0.0502	-3.72148
0.05025	-3.72196
0.0503	-3.72244
0.05035	-3.72292
0.0504	-3.72339
0.05045	-3.72387
0.0505	-3.72435
0.05055	-3.72483
0.0506	-3.72531
0.05065	-3.72578
0.0507	-3.72626
0.05075	-3.72674
0.0508	-3.72721
0.05085	-3.72769
0.0509	-3.72816
0.05095	-3.72864
0.051	-3.72911
0.05105	-3.72959
0.0511	-3.73006
0.05115	-3.73054
0.0512	-3.73101
0.05125	-3.73148
0.0513	-3.73196
0.05135	-3.73243
0.0514	-3.7329
0.05145	-3.73337
0.0515	-3.73385
0.05155	-3.73432
0.0516	-3.73479
0.05165	-3.73526
0.0517	-3.73572
0.05175	-3.73617
0.0518	-3.73663
0.05185	-3.73709
0.0519	-3.73755
0.05195	-3.738
0.052	-3.73846
0.05205	-3.73891
0.0521	-3.73937
0.05215	-3.73983
0.0522	-3.74028
0.05225	-3.74074
0.0523	-3.74119
0.05235	-3.74165
0.0524	-3.7421
0.05245	-3.74255
0.0525	-3.74301
0.05255	-3.74346
0.0526	-3.74391
0.05265	-3.74437
0.0527	-3.74482
0.05275	-3.74527
0.0528	-3.74572
0.05285	-3.74618
0.0529	-3.74663
0.05295	-3.74708
0.053	-3.74753
0.05305	-3.74798
0.0531	-3.74843
0.05315	-3.74888
0.0532	-3.74933
0.05325	-3.74978
0.0533	-3.75023
0.05335	-3.75068
0.0534	-3.75113
0.05345	-3.75158
0.0535	-3.75203
0.05355	-3.75247
0.0536	-3.75292
0.05365	-3.75337
0.0537	-3.75382
0.05375	-3.75426
0.0538	-3.75471
0.05385	-3.75516
0.0539	-3.7556
0.05395	-3.75605
0.054	-3.75649
0.05405	-3.75694
0.0541	-3.75738
0.05415	-3.75783
0.0542	-3.75827
0.05425	-3.75872
0.0543	-3.75916
0.05435	-3.75961
0.0544	-3.76005
0.05445	-3.76049
0.0545	-3.76094
0.05455	-3.76138
0.0546	-3.76182
0.05465	-3.76226
0.0547	-3.7627
0.05475	-3.76315
0.0548	-3.76359
0.05485	-3.76403
0.0549	-3.76447
0.05495	-3.76491
0.055	-3.76535
0.05505	-3.76579
0.0551	-3.76623
0.05515	-3.76667
0.0552	-3.76711
0.05525	-3.76755
0.0553	-3.76799
0.05535	-3.76843
0.0554	-3.76886
0.05545	-3.7693
0.0555	-3.76974
0.05555	-3.77018
0.0556	-3.77062
0.05565	-3.77105
0.0557	-3.77149
0.05575	-3.77193
0.0558	-3.77236
0.05585	-3.7728
0.0559	-3.77323
0.05595	-3.77367
0.056	-3.7741
0.05605	-3.77454
0.0561	-3.77496
0.05615	-3.77539
0.0562	-3.77581
0.05625	-3.77623
0.0563	-3.77665
0.05635	-3.77708
0.0564	-3.7775
0.05645	-3.77792
0.0565	-3.77834
0.05655	-3.77876
0.0566	-3.77919
0.05665	-3.77961
0.0567	-3.78003
0.05675	-3.78045
0.0568	-3.78087
0.05685	-3.78129
0.0569	-3.78171
0.05695	-3.78213
0.057	-3.78255
0.05705	-3.78297
0.0571	-3.78338
0.05715	-3.7838
0.0572	-3.78422
0.05725	-3.78464
0.0573	-3.78506
0.05735	-3.78548
0.0574	-3.78589
0.05745	-3.78631
0.0575	-3.78673
0.05755	-3.78714
0.0576	-3.78756
0.05765	-3.78798
0.0577	-3.78839
0.05775	-3.78881
0.0578	-3.78922
0.05785	-3.78964
0.0579	-3.79005
0.05795	-3.79047
0.058	-3.79088
0.05805	-3.7913
0.0581	-3.79171
0.05815	-3.79213
0.0582	-3.79254
0.05825	-3.79295
0.0583	-3.79337
0.05835	-3.79378
0.0584	-3.79419
0.05845	-3.79461
0.0585	-3.79502
0.05855	-3.79543
0.0586	-3.79584
0.05865	-3.79625
0.0587	-3.79667
0.05875	-3.79708
0.0588	-3.79749
0.05885	-3.7979
0.0589	-3.79831
0.05895	-3.79872
0.059	-3.79913
0.05905	-3.79954
0.0591	-3.79995
0.05915	-3.80036
0.0592	-3.80077
0.05925	-3.80118
0.0593	-3.80159
0.05935	-3.802
0.0594	-3.8024
0.05945	-3.80281
0.0595	-3.80322
0.05955	-3.80363
0.0596	-3.80403
0.05965	-3.80444
0.0597	-3.80485
0.05975	-3.80526
0.0598	-3.80566
0.05985	-3.80607
0.0599	-3.80647
0.05995	-3.80688
0.06	-3.80729
0.06005	-3.80769
0.0601	-3.8081
0.06015	-3.8085
0.0602	-3.80891
0.06025	-3.80931
0.0603	-3.80972
0.06035	-3.81012
0.0604	-3.81052
0.06045	-3.81093
0.0605	-3.81133
0.06055	-3.81173
0.0606	-3.81214
0.06065	-3.81254
0.0607	-3.81294
0.06075	-3.81333
0.0608	-3.81372
0.06085	-3.81411
0.0609	-3.8145
0.06095	-3.8149
0.061	-3.81529
0.06105	-3.81568
0.0611	-3.81607
0.06115	-3.81646
0.0612	-3.81685
0.06125	-3.81724
0.0613	-3.81763
0.06135	-3.81802
0.0614	-3.81841
0.06145	-3.8188
0.0615	-3.81919
0.06155	-3.81958
0.0616	-3.81997
0.06165	-3.82036
0.0617	-3.82075
0.06175	-3.82114
0.0618	-3.82152
0.06185	-3.82191
0.0619	-3.8223
0.06195	-3.82269
0.062	-3.82307
0.06205	-3.82346
0.0621	-3.82385
0.06215	-3.82424
0.0622	-3.82462
0.06225	-3.82501
0.0623	-3.8254
0.06235	-3.82578
0.0624	-3.82617
0.06245	-3.82655
0.0625	-3.82694
0.06255	-3.82732
0.0626	-3.82771
0.06265	-3.82809
0.0627	-3.82848
0.06275	-3.82886
0.0628	-3.82925
0.06285	-3.82963
0.0629	-3.83001
0.06295	-3.8304
0.063	-3.83078
0.06305	-3.83117
0.0631	-3.83155
0.06315	-3.83193
0.0632	-3.83231
0.06325	-3.8327
0.0633	-3.83308
0.06335	-3.83346
0.0634	-3.83384
0.06345	-3.83422
0.0635	-3.83461
0.06355	-3.83499
0.0636	-3.83537
0.06365	-3.83575
0.0637	-3.83613
0.06375	-3.83651
0.0638	-3.83689
