x 	 analitycal w t = 0.49999	KMB w t = 0.49999	analitycal w t = 0.99999	KMB w t = 0.99999	analitycal w t = 1.99998	KMB w t = 1.99998
1.97	0.831451	0.831452	0.749859	0.749859	0.681383	0.681384
1.975	0.833136	0.833138	0.75162	0.75162	0.683087	0.683088
1.98	0.834807	0.834809	0.753369	0.753369	0.684782	0.684782
1.985	0.836464	0.836465	0.755107	0.755107	0.686466	0.686467
1.99	0.838106	0.838107	0.756833	0.756833	0.688142	0.688142
1.995	0.839734	0.839735	0.758548	0.758548	0.689807	0.689807
2	0.841347	0.841348	0.760251	0.760252	0.691463	0.691464
2.005	0.842947	0.842948	0.761943	0.761944	0.69311	0.69311
2.01	0.844532	0.844533	0.763624	0.763625	0.694748	0.694748
2.015	0.846104	0.846105	0.765294	0.765295	0.696376	0.696376
2.02	0.847662	0.847663	0.766953	0.766954	0.697995	0.697995
2.025	0.849206	0.849207	0.768601	0.768602	0.699605	0.699605
2.03	0.850736	0.850738	0.770239	0.770239	0.701206	0.701206
2.035	0.852254	0.852255	0.771865	0.771866	0.702798	0.702799
2.04	0.853757	0.853759	0.773481	0.773481	0.704381	0.704382
2.045	0.855248	0.855249	0.775086	0.775086	0.705956	0.705956
2.05	0.856725	0.856726	0.77668	0.776681	0.707521	0.707521
2.055	0.85819	0.858191	0.778264	0.778265	0.709078	0.709078
2.06	0.859641	0.859642	0.779838	0.779839	0.710626	0.710626
2.065	0.861079	0.861081	0.781401	0.781402	0.712166	0.712166
2.07	0.862505	0.862506	0.782954	0.782955	0.713697	0.713697
2.075	0.863918	0.863919	0.784497	0.784497	0.715219	0.715219
2.08	0.865319	0.86532	0.78603	0.78603	0.716733	0.716733
2.085	0.866707	0.866708	0.787552	0.787553	0.718239	0.718239
2.09	0.868082	0.868083	0.789065	0.789065	0.719736	0.719736
2.095	0.869445	0.869447	0.790567	0.790568	0.721225	0.721225
2.1	0.870797	0.870798	0.79206	0.79206	0.722706	0.722706
2.105	0.872135	0.872137	0.793543	0.793543	0.724179	0.724179
2.11	0.873462	0.873464	0.795016	0.795016	0.725643	0.725643
2.115	0.874777	0.874779	0.796479	0.79648	0.7271	0.7271
2.12	0.876081	0.876082	0.797933	0.797934	0.728548	0.728549
2.125	0.877372	0.877373	0.799377	0.799378	0.729989	0.729989
2.13	0.878652	0.878653	0.800812	0.800813	0.731422	0.731422
2.135	0.87992	0.879921	0.802237	0.802238	0.732847	0.732847
2.14	0.881177	0.881178	0.803653	0.803654	0.734264	0.734264
2.145	0.882422	0.882423	0.80506	0.80506	0.735673	0.735673
2.15	0.883656	0.883657	0.806457	0.806458	0.737075	0.737075
