t 	 error 
0.02852	-3.84291
0.02856	-3.84358
0.0286	-3.84426
0.02864	-3.84493
0.02868	-3.8456
0.02872	-3.84627
0.02876	-3.84694
0.0288	-3.84761
0.02884	-3.84828
0.02888	-3.84895
0.02892	-3.84962
0.02896	-3.85029
0.029	-3.85096
0.02904	-3.85163
0.02908	-3.85229
0.02912	-3.85296
0.02916	-3.85363
0.0292	-3.85429
0.02924	-3.85496
0.02928	-3.85562
0.02932	-3.85628
0.02936	-3.85695
0.0294	-3.85761
0.02944	-3.85827
0.02948	-3.85894
0.02952	-3.8596
0.02956	-3.86026
0.0296	-3.86092
0.02964	-3.86158
0.02968	-3.86224
0.02972	-3.8629
0.02976	-3.86356
0.0298	-3.86422
0.02984	-3.86487
0.02988	-3.86553
0.02992	-3.86619
0.02996	-3.86685
0.03	-3.8675
0.03004	-3.86816
0.03008	-3.86881
0.03012	-3.86947
0.03016	-3.8701
0.0302	-3.87073
0.03024	-3.87137
0.03028	-3.872
0.03032	-3.87263
0.03036	-3.87326
0.0304	-3.8739
0.03044	-3.87453
0.03048	-3.87516
0.03052	-3.87579
0.03056	-3.87642
0.0306	-3.87705
0.03064	-3.87768
0.03068	-3.8783
0.03072	-3.87893
0.03076	-3.87956
0.0308	-3.88019
0.03084	-3.88081
0.03088	-3.88144
0.03092	-3.88207
0.03096	-3.88269
0.031	-3.88332
0.03104	-3.88394
0.03108	-3.88457
0.03112	-3.88519
0.03116	-3.88581
0.0312	-3.88644
0.03124	-3.88706
0.03128	-3.88768
0.03132	-3.8883
0.03136	-3.88892
0.0314	-3.88955
0.03144	-3.89017
0.03148	-3.89079
0.03152	-3.89141
0.03156	-3.89203
0.0316	-3.89264
0.03164	-3.89326
0.03168	-3.89388
0.03172	-3.8945
0.03176	-3.89512
0.0318	-3.89573
0.03184	-3.89635
0.03188	-3.89696
0.03192	-3.89758
0.03196	-3.89819
0.032	-3.89881
0.03204	-3.89942
0.03208	-3.90004
0.03212	-3.90065
0.03216	-3.90126
0.0322	-3.90188
0.03224	-3.90249
0.03228	-3.9031
0.03232	-3.90371
0.03236	-3.9043
0.0324	-3.90489
0.03244	-3.90548
0.03248	-3.90607
0.03252	-3.90667
0.03256	-3.90726
0.0326	-3.90785
0.03264	-3.90844
0.03268	-3.90903
0.03272	-3.90962
0.03276	-3.91021
0.0328	-3.9108
0.03284	-3.91138
0.03288	-3.91197
0.03292	-3.91256
0.03296	-3.91315
0.033	-3.91373
0.03304	-3.91432
0.03308	-3.91491
0.03312	-3.91549
0.03316	-3.91608
0.0332	-3.91666
0.03324	-3.91725
0.03328	-3.91783
0.03332	-3.91842
0.03336	-3.919
0.0334	-3.91958
0.03344	-3.92017
0.03348	-3.92075
0.03352	-3.92133
0.03356	-3.92191
0.0336	-3.92249
0.03364	-3.92307
0.03368	-3.92366
0.03372	-3.92424
0.03376	-3.92482
0.0338	-3.9254
0.03384	-3.92597
0.03388	-3.92655
0.03392	-3.92713
0.03396	-3.92771
0.034	-3.92829
0.03404	-3.92887
0.03408	-3.92944
0.03412	-3.93002
0.03416	-3.93059
0.0342	-3.93117
0.03424	-3.93175
0.03428	-3.93232
0.03432	-3.9329
0.03436	-3.93347
0.0344	-3.93404
0.03444	-3.93462
0.03448	-3.93519
0.03452	-3.93576
0.03456	-3.93634
0.0346	-3.9369
0.03464	-3.93746
0.03468	-3.93801
0.03472	-3.93857
0.03476	-3.93912
0.0348	-3.93968
0.03484	-3.94023
0.03488	-3.94078
0.03492	-3.94134
0.03496	-3.94189
0.035	-3.94244
0.03504	-3.94299
0.03508	-3.94355
0.03512	-3.9441
0.03516	-3.94465
0.0352	-3.9452
0.03524	-3.94575
0.03528	-3.9463
0.03532	-3.94685
0.03536	-3.9474
0.0354	-3.94795
0.03544	-3.9485
0.03548	-3.94905
0.03552	-3.9496
0.03556	-3.95014
0.0356	-3.95069
0.03564	-3.95124
0.03568	-3.95179
0.03572	-3.95233
0.03576	-3.95288
0.0358	-3.95343
0.03584	-3.95397
0.03588	-3.95452
0.03592	-3.95506
0.03596	-3.95561
0.036	-3.95615
0.03604	-3.9567
0.03608	-3.95724
0.03612	-3.95778
0.03616	-3.95833
0.0362	-3.95887
0.03624	-3.95941
0.03628	-3.95995
0.03632	-3.9605
0.03636	-3.96104
0.0364	-3.96158
0.03644	-3.96212
0.03648	-3.96266
0.03652	-3.9632
0.03656	-3.96374
0.0366	-3.96428
0.03664	-3.96482
0.03668	-3.96536
0.03672	-3.9659
0.03676	-3.96644
0.0368	-3.96697
0.03684	-3.96751
0.03688	-3.96805
0.03692	-3.96859
0.03696	-3.96911
0.037	-3.96964
