t 	 error 
0.0989	-3.75551
0.099	-3.756
0.0991	-3.7565
0.0992	-3.75699
0.0993	-3.75748
0.0994	-3.75798
0.0995	-3.75847
0.0996	-3.75896
0.0997	-3.75945
0.0998	-3.75994
0.0999	-3.76043
0.1	-3.76093
0.1001	-3.76142
0.1002	-3.76191
0.1003	-3.7624
0.1004	-3.76289
0.1005	-3.76337
0.1006	-3.76386
0.1007	-3.76435
0.1008	-3.76484
0.1009	-3.76533
0.101	-3.76582
0.1011	-3.7663
0.1012	-3.76679
0.1013	-3.76728
0.1014	-3.76776
0.1015	-3.76825
0.1016	-3.76873
0.1017	-3.76922
0.1018	-3.7697
0.1019	-3.77019
0.102	-3.77067
0.1021	-3.77116
0.1022	-3.77164
0.1023	-3.77212
0.1024	-3.77261
0.1025	-3.77309
0.1026	-3.77357
0.1027	-3.77406
0.1028	-3.77454
0.1029	-3.77502
0.103	-3.7755
0.1031	-3.77598
0.1032	-3.77646
0.1033	-3.77694
0.1034	-3.77742
0.1035	-3.7779
0.1036	-3.77838
0.1037	-3.77886
0.1038	-3.77934
0.1039	-3.77982
0.104	-3.78029
0.1041	-3.78077
0.1042	-3.78125
0.1043	-3.78173
0.1044	-3.7822
0.1045	-3.78268
0.1046	-3.78315
0.1047	-3.78363
0.1048	-3.78409
0.1049	-3.78456
0.105	-3.78503
0.1051	-3.78549
0.1052	-3.78596
0.1053	-3.78643
0.1054	-3.78689
0.1055	-3.78736
0.1056	-3.78782
0.1057	-3.78829
0.1058	-3.78875
0.1059	-3.78921
0.106	-3.78968
0.1061	-3.79014
0.1062	-3.79061
0.1063	-3.79107
0.1064	-3.79153
0.1065	-3.79199
0.1066	-3.79246
0.1067	-3.79292
0.1068	-3.79338
0.1069	-3.79384
0.107	-3.7943
0.1071	-3.79476
0.1072	-3.79522
0.1073	-3.79568
0.1074	-3.79614
0.1075	-3.7966
0.1076	-3.79706
0.1077	-3.79752
0.1078	-3.79798
0.1079	-3.79844
0.108	-3.79889
0.1081	-3.79935
0.1082	-3.79981
0.1083	-3.80027
0.1084	-3.80072
0.1085	-3.80118
0.1086	-3.80163
0.1087	-3.80209
0.1088	-3.80255
0.1089	-3.803
0.109	-3.80346
0.1091	-3.80391
0.1092	-3.80437
0.1093	-3.80482
0.1094	-3.80527
0.1095	-3.80573
0.1096	-3.80618
0.1097	-3.80663
0.1098	-3.80709
0.1099	-3.80754
0.11	-3.80799
0.1101	-3.80844
0.1102	-3.8089
0.1103	-3.80935
0.1104	-3.8098
0.1105	-3.81025
0.1106	-3.8107
0.1107	-3.81115
0.1108	-3.8116
0.1109	-3.81205
0.111	-3.8125
0.1111	-3.81295
0.1112	-3.81339
0.1113	-3.81383
0.1114	-3.81427
0.1115	-3.81471
0.1116	-3.81515
0.1117	-3.81559
0.1118	-3.81603
0.1119	-3.81647
0.112	-3.81691
0.1121	-3.81735
0.1122	-3.81779
0.1123	-3.81823
0.1124	-3.81867
0.1125	-3.81911
0.1126	-3.81954
0.1127	-3.81998
0.1128	-3.82042
0.1129	-3.82086
0.113	-3.82129
0.1131	-3.82173
0.1132	-3.82216
0.1133	-3.8226
0.1134	-3.82304
0.1135	-3.82347
0.1136	-3.82391
0.1137	-3.82434
0.1138	-3.82478
0.1139	-3.82521
0.114	-3.82565
0.1141	-3.82608
0.1142	-3.82651
0.1143	-3.82695
0.1144	-3.82738
0.1145	-3.82781
0.1146	-3.82824
0.1147	-3.82868
0.1148	-3.82911
0.1149	-3.82954
0.115	-3.82997
0.1151	-3.8304
0.1152	-3.83083
0.1153	-3.83127
0.1154	-3.8317
0.1155	-3.83213
0.1156	-3.83256
0.1157	-3.83299
0.1158	-3.83342
0.1159	-3.83384
0.116	-3.83427
0.1161	-3.8347
0.1162	-3.83513
0.1163	-3.83556
0.1164	-3.83599
