x 	 analitycal w t = 0.5	PCMN_THOMAS w t = 0.5	analitycal w t = 1	PCMN_THOMAS w t = 1	analitycal w t = 1.99999	PCMN_THOMAS w t = 1.99999
1.87	0.794492	0.794495	0.712067	0.712069	0.645154	0.645155
1.875	0.796494	0.796497	0.714079	0.71408	0.647068	0.647068
1.88	0.798479	0.798482	0.716077	0.716079	0.64897	0.648971
1.885	0.800447	0.800451	0.718062	0.718063	0.650861	0.650862
1.89	0.802399	0.802402	0.720034	0.720035	0.652741	0.652742
1.895	0.804334	0.804337	0.721992	0.721994	0.654611	0.654611
1.9	0.806252	0.806256	0.723938	0.723939	0.656469	0.656469
1.905	0.808155	0.808158	0.72587	0.725872	0.658316	0.658317
1.91	0.810041	0.810044	0.72779	0.727791	0.660153	0.660153
1.915	0.81191	0.811914	0.729697	0.729698	0.661979	0.661979
1.92	0.813764	0.813767	0.731591	0.731593	0.663794	0.663795
1.925	0.815602	0.815605	0.733473	0.733475	0.665599	0.6656
1.93	0.817424	0.817427	0.735342	0.735344	0.667394	0.667394
1.935	0.819231	0.819234	0.737199	0.737201	0.669178	0.669178
1.94	0.821022	0.821025	0.739044	0.739045	0.670952	0.670952
1.945	0.822797	0.822801	0.740876	0.740878	0.672715	0.672716
1.95	0.824558	0.824561	0.742696	0.742698	0.674469	0.674469
1.955	0.826303	0.826306	0.744505	0.744506	0.676212	0.676213
1.96	0.828033	0.828036	0.746301	0.746302	0.677946	0.677946
1.965	0.829748	0.829751	0.748085	0.748087	0.679669	0.67967
1.97	0.831448	0.831452	0.749858	0.749859	0.681383	0.681384
1.975	0.833134	0.833137	0.751619	0.75162	0.683087	0.683088
1.98	0.834805	0.834808	0.753368	0.753369	0.684781	0.684782
1.985	0.836461	0.836464	0.755105	0.755107	0.686466	0.686467
1.99	0.838103	0.838107	0.756832	0.756833	0.688141	0.688142
1.995	0.839731	0.839734	0.758546	0.758548	0.689807	0.689807
2	0.841345	0.841348	0.76025	0.760251	0.691463	0.691464
2.005	0.842944	0.842947	0.761942	0.761944	0.69311	0.69311
2.01	0.84453	0.844533	0.763623	0.763625	0.694747	0.694748
2.015	0.846101	0.846104	0.765293	0.765295	0.696376	0.696376
2.02	0.847659	0.847662	0.766952	0.766954	0.697995	0.697995
2.025	0.849203	0.849206	0.7686	0.768602	0.699605	0.699606
2.03	0.850734	0.850737	0.770238	0.770239	0.701206	0.701207
2.035	0.852251	0.852254	0.771864	0.771865	0.702798	0.702799
2.04	0.853755	0.853758	0.77348	0.773481	0.704381	0.704382
2.045	0.855245	0.855248	0.775085	0.775086	0.705955	0.705956
2.05	0.856723	0.856726	0.776679	0.776681	0.707521	0.707522
2.055	0.858187	0.85819	0.778263	0.778265	0.709078	0.709078
2.06	0.859639	0.859641	0.779837	0.779838	0.710626	0.710626
2.065	0.861077	0.86108	0.7814	0.781402	0.712165	0.712166
2.07	0.862503	0.862506	0.782953	0.782955	0.713696	0.713697
2.075	0.863916	0.863919	0.784496	0.784497	0.715219	0.715219
2.08	0.865316	0.865319	0.786028	0.78603	0.716733	0.716733
2.085	0.866704	0.866707	0.787551	0.787552	0.718238	0.718239
2.09	0.86808	0.868083	0.789064	0.789065	0.719736	0.719736
2.095	0.869443	0.869446	0.790566	0.790567	0.721225	0.721225
2.1	0.870794	0.870797	0.792059	0.79206	0.722706	0.722706
2.105	0.872133	0.872136	0.793542	0.793543	0.724178	0.724179
2.11	0.87346	0.873463	0.795015	0.795016	0.725643	0.725643
2.115	0.874775	0.874778	0.796478	0.79648	0.727099	0.7271
2.12	0.876078	0.876081	0.797932	0.797933	0.728548	0.728549
2.125	0.87737	0.877373	0.799376	0.799378	0.729989	0.729989
2.13	0.87865	0.878652	0.800811	0.800812	0.731421	0.731422
2.135	0.879918	0.879921	0.802236	0.802238	0.732846	0.732847
2.14	0.881175	0.881177	0.803652	0.803654	0.734263	0.734264
2.145	0.88242	0.882423	0.805059	0.80506	0.735673	0.735673
2.15	0.883654	0.883657	0.806456	0.806458	0.737074	0.737075
2.155	0.884877	0.884879	0.807844	0.807846	0.738468	0.738469
2.16	0.886089	0.886091	0.809224	0.809225	0.739855	0.739856
2.165	0.887289	0.887292	0.810594	0.810595	0.741234	0.741234
